visit_id,date,country,traffic_source,device_type,browser,page,session_duration_sec,pages_viewed,bounce,conversion
79,09-09-2025,Japan,Email,Mobile,Safari,/blog,1680,14,0,0
80,09-07-2025,Spain,Direct,Mobile,Chrome,/,1425,2,0,0
81,23-10-2025,Japan,Direct,Mobile,Opera,/,1445,7,1,0
82,01-08-2025,Australia,Social Media,Mobile,Safari,/,182,1,0,0
83,27-07-2025,Germany,Direct,Desktop,Chrome,/blog,884,2,0,0
84,25-08-2025,UK,Social Media,Mobile,Safari,/,210,6,0,0
85,04-12-2025,India,Paid Ads,Tablet,Edge,/home,226,11,1,0
86,22-02-2025,Netherlands,Email,Mobile,Firefox,/blog,385,5,1,0
87,07-10-2025,Germany,Referral,Mobile,Safari,/about,1753,8,0,0
88,05-08-2025,India,Paid Ads,Mobile,Chrome,/contact,1619,12,1,0
89,09-09-2025,Indonesia,Email,Mobile,Edge,/about,20,11,1,0
90,07-07-2025,India,Social Media,Mobile,Opera,/blog,1045,2,0,0
91,10-02-2025,UK,Email,Desktop,Edge,/blog,901,1,0,0
92,06-06-2025,South Africa,Social Media,Desktop,Firefox,/products,1623,7,0,0
93,15-01-2025,Spain,Paid Ads,Mobile,Edge,/products,444,6,1,0
94,28-10-2025,Japan,Organic Search,Desktop,Opera,/products,1717,8,1,0
95,06-03-2025,Indonesia,Organic Search,Mobile,Chrome,/login,1641,11,0,0
96,11-12-2025,Spain,Email,Mobile,Safari,/login,827,13,0,0
97,23-11-2025,Australia,Organic Search,Mobile,Firefox,/pricing,1406,14,0,0
98,09-01-2025,USA,Social Media,Desktop,Opera,/login,1306,8,1,0
99,10-12-2025,Pakistan,Direct,Desktop,Firefox,/home,940,2,1,0
100,09-05-2025,Turkey,Social Media,Tablet,Edge,/blog,700,14,0,0
101,16-05-2025,USA,Direct,Mobile,Firefox,/about,1609,8,0,1
102,04-03-2025,Italy,Paid Ads,Mobile,Opera,/blog,1542,6,0,0
103,19-05-2025,Pakistan,Referral,Mobile,Safari,/products,1165,9,1,0
104,22-03-2025,Turkey,Direct,Mobile,Safari,/blog,864,12,0,0
105,12-06-2025,Indonesia,Organic Search,Mobile,Firefox,/contact,793,7,0,0
106,16-10-2025,USA,Social Media,Mobile,Chrome,/login,328,2,1,0
107,18-09-2025,Saudi Arabia,Paid Ads,Desktop,Firefox,/blog,853,8,0,0
108,19-08-2025,Saudi Arabia,Organic Search,Mobile,Edge,/about,630,9,1,0
109,10-02-2025,Canada,Paid Ads,Mobile,Safari,/,794,7,0,0
110,28-01-2025,Italy,Referral,Tablet,Safari,/contact,1201,4,0,0
111,15-05-2025,India,Social Media,Desktop,Safari,/contact,406,9,1,0
112,20-07-2025,Australia,Email,Mobile,Chrome,/blog,1213,4,0,0
113,24-11-2025,Canada,Social Media,Mobile,Chrome,/pricing,1091,12,0,0
114,25-09-2025,China,Referral,Mobile,Opera,/products,1513,4,0,1
115,02-02-2025,Netherlands,Social Media,Desktop,Firefox,/home,1624,9,0,0
116,17-02-2025,Netherlands,Email,Mobile,Firefox,/home,469,14,0,1
117,03-03-2025,Brazil,Direct,Mobile,Edge,/,70,8,1,0
118,04-08-2025,UK,Paid Ads,Desktop,Safari,/home,378,4,1,0
119,20-10-2025,Netherlands,Email,Mobile,Chrome,/home,1154,14,1,0
120,09-04-2025,Japan,Organic Search,Mobile,Edge,/products,728,8,0,0
121,21-06-2025,Canada,Referral,Mobile,Edge,/login,555,8,1,0
122,26-12-2025,China,Direct,Tablet,Chrome,/products,1615,7,1,1
123,02-08-2025,UAE,Organic Search,Desktop,Firefox,/pricing,1050,10,0,0
124,04-02-2025,UK,Organic Search,Desktop,Safari,/about,505,13,0,0
125,15-08-2025,India,Referral,Mobile,Firefox,/,506,6,0,0
126,11-04-2025,Italy,Direct,Desktop,Edge,/home,514,8,1,0
127,11-05-2025,France,Organic Search,Desktop,Safari,/pricing,1565,7,0,0
128,14-09-2025,UK,Organic Search,Desktop,Opera,/,978,5,1,0
129,05-01-2025,UAE,Direct,Desktop,Edge,/contact,1348,12,0,0
130,06-08-2025,France,Social Media,Mobile,Firefox,/home,1102,13,1,1
131,12-09-2025,Turkey,Organic Search,Desktop,Firefox,/home,1760,13,0,0
132,25-12-2025,Italy,Paid Ads,Mobile,Firefox,/products,170,4,0,0
133,10-10-2025,Germany,Direct,Desktop,Chrome,/blog,1647,14,0,0
134,26-07-2025,Turkey,Organic Search,Mobile,Edge,/,727,12,0,0
135,15-01-2025,Australia,Referral,Desktop,Safari,/home,1178,2,1,0
136,12-12-2025,UAE,Email,Mobile,Firefox,/login,1602,11,1,0
137,11-02-2025,India,Paid Ads,Mobile,Firefox,/,1628,8,0,0
138,28-06-2025,Netherlands,Email,Desktop,Chrome,/about,1002,9,0,0
139,04-03-2025,South Africa,Email,Mobile,Safari,/login,1418,4,0,0
140,18-12-2025,Italy,Organic Search,Desktop,Edge,/pricing,278,4,0,0
141,19-08-2025,Australia,Paid Ads,Mobile,Opera,/login,1487,5,0,0
142,29-08-2025,Spain,Paid Ads,Desktop,Chrome,/pricing,708,2,1,0
143,21-02-2025,Australia,Social Media,Tablet,Edge,/blog,1551,7,1,0
144,06-04-2025,UAE,Email,Desktop,Opera,/home,874,5,0,0
145,10-08-2025,Turkey,Paid Ads,Mobile,Firefox,/login,359,6,0,0
146,19-08-2025,Turkey,Social Media,Desktop,Firefox,/about,119,4,0,0
147,25-08-2025,Germany,Direct,Desktop,Safari,/products,1516,8,0,0
148,23-05-2025,Australia,Social Media,Mobile,Opera,/home,416,8,0,0
149,20-06-2025,Indonesia,Referral,Tablet,Firefox,/,659,12,0,0
150,29-01-2025,Turkey,Organic Search,Desktop,Firefox,/contact,60,5,0,0
151,05-02-2025,Germany,Direct,Desktop,Safari,/pricing,1436,12,0,0
152,13-01-2025,Spain,Direct,Desktop,Edge,/,1596,6,0,0
153,09-06-2025,Indonesia,Referral,Desktop,Firefox,/blog,1509,3,0,0
154,23-11-2025,UK,Social Media,Desktop,Chrome,/pricing,1120,1,0,0
155,06-07-2025,Netherlands,Organic Search,Mobile,Chrome,/products,1101,9,1,0
156,31-08-2025,Germany,Social Media,Desktop,Edge,/pricing,605,9,1,0
157,27-03-2025,UAE,Paid Ads,Desktop,Opera,/contact,988,3,1,1
158,11-10-2025,Mexico,Social Media,Mobile,Safari,/login,1075,4,0,0
159,07-03-2025,Netherlands,Direct,Mobile,Chrome,/about,740,13,0,0
160,19-06-2025,Turkey,Organic Search,Desktop,Chrome,/login,66,7,0,0
161,14-02-2025,Canada,Social Media,Desktop,Edge,/home,747,2,0,0
162,03-03-2025,China,Organic Search,Mobile,Opera,/contact,205,12,1,0
163,14-05-2025,UAE,Organic Search,Desktop,Opera,/about,1793,3,0,0
164,11-10-2025,Brazil,Paid Ads,Mobile,Edge,/contact,1711,6,0,0
165,28-01-2025,Germany,Paid Ads,Desktop,Chrome,/home,1095,11,0,0
166,18-04-2025,South Africa,Direct,Mobile,Safari,/pricing,1296,8,0,0
167,13-02-2025,UK,Referral,Desktop,Chrome,/blog,121,1,1,0
168,06-12-2025,Saudi Arabia,Organic Search,Mobile,Opera,/home,774,4,0,0
169,13-10-2025,Spain,Referral,Mobile,Chrome,/home,720,1,0,0
170,27-11-2025,Germany,Direct,Mobile,Safari,/about,1211,2,0,0
171,08-05-2025,Australia,Organic Search,Desktop,Firefox,/products,957,8,1,0
172,14-12-2025,Pakistan,Organic Search,Desktop,Chrome,/login,35,6,0,1
173,19-08-2025,Italy,Email,Desktop,Edge,/pricing,419,9,0,0
174,09-07-2025,Brazil,Referral,Desktop,Firefox,/home,767,2,0,0
175,13-08-2025,Pakistan,Social Media,Desktop,Edge,/blog,540,3,1,0
176,10-10-2025,Spain,Paid Ads,Mobile,Edge,/,1350,9,0,0
177,01-05-2025,Pakistan,Social Media,Mobile,Edge,/pricing,1565,9,0,0
178,26-04-2025,Saudi Arabia,Referral,Mobile,Chrome,/products,1139,13,1,0
179,21-08-2025,Brazil,Paid Ads,Mobile,Opera,/contact,758,6,1,0
180,16-09-2025,Brazil,Social Media,Mobile,Firefox,/home,1497,14,0,0
181,25-12-2025,Germany,Email,Desktop,Safari,/blog,255,3,1,0
182,17-07-2025,Mexico,Paid Ads,Mobile,Opera,/pricing,1114,5,0,0
183,17-05-2025,Germany,Organic Search,Desktop,Chrome,/blog,671,2,1,0
184,14-11-2025,Pakistan,Social Media,Mobile,Edge,/blog,918,7,0,0
185,14-06-2025,USA,Paid Ads,Mobile,Safari,/login,405,10,0,0
186,13-08-2025,Italy,Email,Mobile,Firefox,/about,531,11,1,0
187,03-11-2025,Spain,Paid Ads,Mobile,Opera,/contact,1769,8,1,0
188,22-08-2025,Brazil,Paid Ads,Desktop,Opera,/products,935,6,0,1
189,21-06-2025,Turkey,Email,Mobile,Safari,/login,273,8,1,0
190,01-06-2025,Spain,Social Media,Mobile,Chrome,/pricing,1694,2,0,0
191,11-11-2025,Japan,Direct,Mobile,Firefox,/home,799,3,1,0
192,09-06-2025,Japan,Social Media,Mobile,Safari,/products,1307,7,0,0
193,06-04-2025,Turkey,Referral,Desktop,Edge,/home,1739,10,0,0
194,21-08-2025,Brazil,Email,Desktop,Firefox,/,181,12,0,0
195,29-06-2025,Brazil,Social Media,Desktop,Opera,/blog,274,1,0,0
196,23-04-2025,China,Paid Ads,Desktop,Safari,/,1059,7,0,0
197,14-11-2025,UAE,Email,Mobile,Opera,/about,1502,6,0,0
198,21-02-2025,Saudi Arabia,Organic Search,Mobile,Opera,/blog,485,8,0,0
199,25-09-2025,France,Social Media,Mobile,Opera,/contact,365,7,1,0
200,22-10-2025,Germany,Email,Mobile,Chrome,/products,1059,4,0,0
201,23-04-2025,South Africa,Social Media,Mobile,Opera,/home,43,3,0,0
202,11-04-2025,Indonesia,Email,Mobile,Edge,/login,273,3,0,0
203,23-04-2025,Germany,Paid Ads,Desktop,Edge,/about,1171,4,0,0
204,22-03-2025,Pakistan,Organic Search,Mobile,Firefox,/contact,825,9,0,0
205,06-07-2025,Brazil,Organic Search,Desktop,Opera,/home,1728,9,0,0
206,23-04-2025,South Africa,Referral,Desktop,Opera,/products,884,13,0,0
207,02-01-2025,Indonesia,Email,Mobile,Safari,/pricing,763,2,0,0
208,10-05-2025,Germany,Social Media,Desktop,Chrome,/about,575,5,0,0
209,08-08-2025,Brazil,Organic Search,Desktop,Firefox,/,471,1,0,0
210,23-02-2025,USA,Organic Search,Desktop,Opera,/,1201,4,1,1
211,09-12-2025,South Africa,Direct,Desktop,Safari,/login,1664,2,0,0
212,12-08-2025,France,Direct,Tablet,Chrome,/home,664,8,1,0
213,13-08-2025,Turkey,Organic Search,Desktop,Firefox,/home,90,4,0,0
214,06-05-2025,Saudi Arabia,Email,Desktop,Firefox,/home,766,5,1,0
215,10-05-2025,Canada,Referral,Mobile,Opera,/about,879,11,0,0
216,22-02-2025,Italy,Organic Search,Mobile,Firefox,/products,1440,4,0,0
217,21-06-2025,UK,Paid Ads,Tablet,Safari,/pricing,1607,5,1,0
218,06-08-2025,USA,Social Media,Desktop,Firefox,/,1079,5,0,0
219,09-06-2025,Saudi Arabia,Referral,Mobile,Edge,/contact,608,5,0,0
220,17-07-2025,UAE,Paid Ads,Mobile,Safari,/blog,1644,11,0,0
221,04-09-2025,France,Referral,Tablet,Chrome,/about,816,3,1,0
222,20-11-2025,Turkey,Paid Ads,Mobile,Chrome,/about,1086,7,0,0
223,22-07-2025,Canada,Social Media,Mobile,Opera,/products,993,3,0,0
224,03-07-2025,Pakistan,Social Media,Desktop,Opera,/,713,2,1,0
225,03-05-2025,Australia,Direct,Mobile,Edge,/login,485,3,0,0
226,12-09-2025,Brazil,Email,Mobile,Chrome,/pricing,601,11,1,0
227,21-10-2025,Japan,Paid Ads,Mobile,Chrome,/products,25,3,0,0
228,07-10-2025,Netherlands,Direct,Desktop,Chrome,/contact,1393,8,1,0
229,21-11-2025,Spain,Paid Ads,Desktop,Chrome,/,496,4,0,0
230,08-04-2025,UK,Direct,Desktop,Firefox,/products,715,3,0,0
231,17-07-2025,Canada,Social Media,Desktop,Safari,/,1535,10,0,0
232,28-08-2025,Pakistan,Referral,Desktop,Safari,/,1174,5,0,0
233,24-05-2025,South Africa,Direct,Tablet,Edge,/login,629,4,0,0
234,07-04-2025,Canada,Paid Ads,Mobile,Firefox,/about,1028,9,0,0
235,20-07-2025,Brazil,Paid Ads,Mobile,Chrome,/pricing,786,8,0,0
236,04-05-2025,Pakistan,Email,Mobile,Chrome,/about,456,11,0,0
237,06-07-2025,Japan,Social Media,Mobile,Opera,/blog,299,7,0,0
238,22-11-2025,Saudi Arabia,Paid Ads,Desktop,Opera,/pricing,218,8,0,0
239,15-12-2025,Australia,Organic Search,Desktop,Edge,/,1508,13,0,0
240,16-09-2025,Pakistan,Referral,Desktop,Chrome,/products,422,5,0,0
241,28-05-2025,Netherlands,Direct,Mobile,Edge,/contact,686,4,0,0
242,09-09-2025,Indonesia,Email,Mobile,Firefox,/login,1460,7,0,0
243,12-12-2025,Germany,Referral,Desktop,Safari,/pricing,1404,1,1,0
244,27-05-2025,India,Social Media,Mobile,Chrome,/blog,673,6,0,0
245,28-05-2025,Brazil,Email,Tablet,Firefox,/,299,8,0,0
246,18-12-2025,Pakistan,Direct,Mobile,Chrome,/contact,1465,7,0,0
247,18-07-2025,Spain,Direct,Mobile,Opera,/pricing,1301,2,1,0
248,04-11-2025,Netherlands,Organic Search,Mobile,Edge,/about,160,14,0,0
249,08-05-2025,Germany,Social Media,Desktop,Opera,/about,1752,13,1,0
250,08-02-2025,China,Email,Mobile,Safari,/pricing,1288,14,0,1
251,04-12-2025,France,Email,Desktop,Opera,/pricing,1386,7,1,0
252,26-12-2025,USA,Paid Ads,Mobile,Chrome,/pricing,1410,13,0,0
253,09-05-2025,Germany,Organic Search,Mobile,Opera,/contact,1686,6,0,0
254,24-09-2025,Canada,Organic Search,Desktop,Chrome,/about,864,13,0,0
255,31-05-2025,Japan,Email,Mobile,Safari,/products,1391,5,1,0
256,25-10-2025,China,Email,Tablet,Opera,/blog,617,4,1,0
257,09-04-2025,USA,Referral,Desktop,Edge,/blog,379,1,0,0
258,20-09-2025,India,Referral,Mobile,Edge,/login,1260,13,0,0
259,09-09-2025,Japan,Referral,Desktop,Edge,/,714,2,0,0
260,24-05-2025,Pakistan,Organic Search,Mobile,Opera,/home,1336,7,0,1
261,12-12-2025,Germany,Paid Ads,Mobile,Opera,/products,835,10,0,0
262,22-04-2025,Spain,Direct,Mobile,Opera,/about,1014,3,0,0
263,01-03-2025,Saudi Arabia,Referral,Tablet,Chrome,/,1422,5,1,0
264,02-01-2025,UK,Paid Ads,Mobile,Safari,/login,386,8,0,0
265,31-10-2025,France,Social Media,Mobile,Edge,/,982,13,0,0
266,11-09-2025,Italy,Referral,Desktop,Chrome,/pricing,127,13,0,0
267,20-05-2025,China,Direct,Tablet,Edge,/home,1038,8,1,0
268,06-02-2025,India,Social Media,Desktop,Chrome,/about,453,6,1,1
269,09-06-2025,China,Social Media,Mobile,Opera,/home,1385,5,0,0
270,09-01-2025,South Africa,Direct,Desktop,Edge,/products,764,13,1,0
271,21-08-2025,Canada,Referral,Desktop,Opera,/home,1566,2,1,0
272,09-04-2025,Italy,Organic Search,Mobile,Edge,/,1697,9,0,0
273,27-05-2025,Canada,Direct,Desktop,Firefox,/home,649,1,0,0
274,31-10-2025,India,Direct,Desktop,Chrome,/home,133,11,1,0
275,27-07-2025,UK,Direct,Desktop,Firefox,/blog,667,2,0,0
276,11-05-2025,Italy,Social Media,Desktop,Chrome,/about,1310,13,0,0
277,01-06-2025,UK,Paid Ads,Desktop,Safari,/about,831,1,0,1
278,23-02-2025,India,Organic Search,Desktop,Edge,/,1427,12,0,0
279,30-04-2025,Saudi Arabia,Referral,Mobile,Safari,/contact,673,4,1,0
280,10-06-2025,Canada,Referral,Desktop,Safari,/home,369,4,0,0
281,26-04-2025,UK,Paid Ads,Mobile,Chrome,/home,632,5,0,0
282,16-03-2025,Mexico,Direct,Desktop,Firefox,/pricing,1502,5,1,0
283,23-04-2025,China,Organic Search,Tablet,Opera,/about,1661,8,0,0
284,14-04-2025,Italy,Referral,Mobile,Chrome,/home,1733,11,0,0
285,06-12-2025,Germany,Email,Desktop,Opera,/about,1090,11,1,1
286,11-09-2025,France,Referral,Mobile,Safari,/home,1284,3,0,0
287,15-08-2025,Spain,Direct,Mobile,Opera,/blog,928,6,0,0
288,22-04-2025,Turkey,Email,Tablet,Firefox,/,1183,12,0,0
289,09-04-2025,UAE,Paid Ads,Mobile,Chrome,/about,461,13,0,0
290,02-06-2025,Brazil,Organic Search,Desktop,Firefox,/products,1195,12,1,0
291,15-12-2025,UAE,Paid Ads,Mobile,Firefox,/,129,3,0,0
292,04-12-2025,Italy,Paid Ads,Mobile,Chrome,/pricing,591,13,0,0
293,13-07-2025,Saudi Arabia,Organic Search,Mobile,Firefox,/,1384,2,0,0
294,06-11-2025,UAE,Organic Search,Desktop,Edge,/home,108,8,0,0
295,12-06-2025,Italy,Referral,Mobile,Edge,/pricing,1200,1,1,1
296,27-07-2025,China,Referral,Tablet,Edge,/,1696,9,1,1
297,18-06-2025,Mexico,Organic Search,Desktop,Opera,/login,523,11,1,1
298,10-06-2025,Canada,Email,Desktop,Firefox,/pricing,673,7,0,0
299,09-03-2025,UAE,Social Media,Desktop,Chrome,/login,410,12,1,1
300,16-10-2025,Spain,Referral,Mobile,Chrome,/products,374,10,0,1
301,04-10-2025,Indonesia,Social Media,Mobile,Opera,/,1610,13,1,1
302,31-10-2025,China,Email,Mobile,Chrome,/about,1359,12,1,0
303,15-05-2025,France,Organic Search,Mobile,Edge,/about,590,11,0,0
304,14-07-2025,Mexico,Email,Mobile,Firefox,/contact,1666,4,0,0
305,08-05-2025,China,Referral,Desktop,Chrome,/home,630,3,0,0
306,02-02-2025,Italy,Paid Ads,Mobile,Chrome,/login,837,6,0,0
307,25-06-2025,USA,Organic Search,Mobile,Safari,/pricing,256,9,1,0
308,22-01-2025,Mexico,Direct,Tablet,Safari,/contact,443,9,0,1
309,26-08-2025,India,Social Media,Tablet,Safari,/contact,1126,4,0,0
310,07-06-2025,South Africa,Email,Tablet,Firefox,/blog,1301,10,0,0
311,07-02-2025,China,Organic Search,Mobile,Edge,/login,624,5,1,1
312,18-08-2025,Pakistan,Email,Mobile,Edge,/pricing,952,11,0,1
313,31-12-2025,USA,Organic Search,Mobile,Edge,/contact,972,13,0,0
314,20-02-2025,UAE,Referral,Tablet,Firefox,/blog,633,9,0,0
315,21-09-2025,Italy,Referral,Desktop,Firefox,/contact,330,2,0,0
316,10-10-2025,India,Referral,Desktop,Safari,/home,865,2,0,0
317,27-01-2025,Mexico,Email,Desktop,Chrome,/products,71,5,1,0
318,14-08-2025,UK,Direct,Mobile,Opera,/login,309,1,0,0
319,04-10-2025,Netherlands,Referral,Desktop,Opera,/blog,412,8,0,0
320,13-10-2025,Germany,Organic Search,Desktop,Chrome,/products,964,5,0,0
321,07-04-2025,USA,Referral,Desktop,Safari,/pricing,1681,12,0,1
322,11-10-2025,South Africa,Paid Ads,Desktop,Chrome,/home,1600,10,0,0
323,13-11-2025,Spain,Referral,Mobile,Chrome,/blog,1653,2,0,0
324,31-10-2025,UK,Email,Desktop,Opera,/pricing,1336,12,0,0
325,27-05-2025,Japan,Direct,Mobile,Safari,/contact,262,9,0,0
326,04-01-2025,UK,Paid Ads,Mobile,Firefox,/about,1767,2,0,1
327,04-02-2025,Japan,Email,Mobile,Opera,/,487,7,1,0
328,11-07-2025,USA,Email,Desktop,Firefox,/pricing,1402,8,0,0
329,18-02-2025,Australia,Email,Tablet,Safari,/products,1712,14,1,0
330,17-01-2025,Canada,Organic Search,Mobile,Chrome,/home,169,6,1,0
331,21-06-2025,Mexico,Email,Tablet,Edge,/home,970,14,0,0
332,08-08-2025,Germany,Organic Search,Tablet,Edge,/pricing,1199,11,1,0
333,07-06-2025,South Africa,Email,Desktop,Safari,/contact,214,7,0,0
334,15-02-2025,India,Social Media,Desktop,Edge,/,1300,11,0,0
335,06-01-2025,Canada,Paid Ads,Desktop,Firefox,/login,1171,1,0,0
336,09-04-2025,Australia,Social Media,Mobile,Edge,/products,1401,4,0,0
337,21-08-2025,Turkey,Email,Desktop,Safari,/pricing,1476,13,0,0
338,06-02-2025,France,Paid Ads,Desktop,Safari,/pricing,867,7,0,0
339,07-10-2025,Mexico,Paid Ads,Mobile,Firefox,/about,769,1,0,0
340,15-12-2025,Brazil,Direct,Desktop,Edge,/home,1600,13,0,0
341,29-10-2025,Italy,Social Media,Desktop,Edge,/products,730,1,0,0
342,30-06-2025,Turkey,Direct,Mobile,Chrome,/,1050,11,0,0
343,05-04-2025,Saudi Arabia,Paid Ads,Desktop,Opera,/home,77,6,0,0
344,09-04-2025,Brazil,Organic Search,Mobile,Safari,/pricing,142,4,0,1
345,07-07-2025,India,Paid Ads,Mobile,Chrome,/home,1733,3,0,0
346,26-04-2025,South Africa,Direct,Mobile,Safari,/home,928,12,0,0
347,10-07-2025,Spain,Social Media,Mobile,Chrome,/blog,439,5,1,1
348,10-09-2025,Canada,Email,Mobile,Opera,/home,317,9,1,0
349,10-06-2025,Brazil,Email,Mobile,Chrome,/contact,659,10,0,0
350,13-09-2025,Netherlands,Social Media,Mobile,Safari,/home,1207,10,1,0
351,19-11-2025,India,Email,Mobile,Edge,/login,421,12,0,0
352,08-05-2025,Canada,Email,Mobile,Safari,/contact,106,14,0,0
353,18-01-2025,UAE,Direct,Mobile,Firefox,/products,1716,14,1,0
